,Title,Abstract
0,Three million images and morphological profiles of cells treated with matched chemical and genetic perturbations,"The identification of genetic and chemical perturbations with similar impacts on cell morphology can elucidate compounds’ mechanisms of action or novel regulators of genetic pathways. Research on methods for identifying such similarities has lagged due to a lack of carefully designed and well-annotated image sets of cells treated with chemical and genetic perturbations. Here we create such a Resource dataset, CPJUMP1, in which each perturbed gene’s product is a known target of at least two chemical compounds in the dataset. We systematically explore the directionality of correlations among perturbations that target the same protein encoded by a given gene, and we find that identifying matches between chemical and genetic perturbations is a challenging task. Our dataset and baseline analyses provide a benchmark for evaluating methods that measure perturbation similarities and impact, and more generally, learn effective representations of cellular state from microscopy images. Such advancements would accelerate the applications of image-based profiling of cellular states, such as uncovering drug mode of action or probing functional genomics."
1,"Teacher-student collaborated multiple instance learning for pan-cancer 
PDL1
 expression prediction from histopathology slides","Programmed cell death ligand 1 (PDL1), as an important biomarker, is quantified by immunohistochemistry (IHC) with few established histopathological patterns. Deep learning aids in histopathological assessment, yet heterogeneity and lacking spatially resolved annotations challenge precise analysis. Here, we present a weakly supervised learning approach using bulk RNA sequencing for 
PDL1
 expression prediction from hematoxylin and eosin (H&E) slides. Our method extends the multiple instance learning paradigm with the teacher-student framework, which assigns dynamic pseudo-labels for intra-slide heterogeneity and retrieves unlabeled instances using temporal ensemble model distillation. The approach, evaluated on 12,299 slides across 20 solid tumor types, achieves a weighted average area under the curve of 0.83 on fresh-frozen and 0.74 on formalin-fixed specimens for 9 tumors with PDL1 as an established biomarker. Our method predicts 
PDL1
 expression patterns, validated by IHC on 20 slides, offering insights into histologies relevant to PDL1. This demonstrates the potential of deep learning in identifying diverse histological patterns for molecular changes from H&E images."
2,Hot springs viruses at Yellowstone National Park have ancient origins and are adapted to thermophilic hosts,"Geothermal springs house unicellular red algae in the class Cyanidiophyceae that dominate the microbial biomass at these sites. Little is known about host-virus interactions in these environments. We analyzed the virus community associated with red algal mats in three neighboring habitats (creek, endolithic, soil) at Lemonade Creek, Yellowstone National Park (YNP), USA. We find that despite proximity, each habitat houses a unique collection of viruses, with the giant viruses, Megaviricetes, dominant in all three. The early branching phylogenetic position of genes encoded on metagenome assembled virus genomes (vMAGs) suggests that the YNP lineages are of ancient origin and not due to multiple invasions from mesophilic habitats. The existence of genomic footprints of adaptation to thermophily in the vMAGs is consistent with this idea. The Cyanidiophyceae at geothermal sites originated ca. 1.5 Bya and are therefore relevant to understanding biotic interactions on the early Earth."
3,Dynamic molecular network analysis of iPSC-Purkinje cells differentiation delineates roles of ISG15 in SCA1 at the earliest stage,"Better understanding of the earliest molecular pathologies of all neurodegenerative diseases is expected to improve human therapeutics. We investigated the earliest molecular pathology of spinocerebellar ataxia type 1 (SCA1), a rare familial neurodegenerative disease that primarily induces death and dysfunction of cerebellum Purkinje cells. Extensive prior studies have identified involvement of transcription or RNA-splicing factors in the molecular pathology of SCA1. However, the regulatory network of SCA1 pathology, especially central regulators of the earliest developmental stages and inflammatory events, remains incompletely understood. Here, we elucidated the earliest developmental pathology of SCA1 using originally developed dynamic molecular network analyses of sequentially acquired RNA-seq data during differentiation of SCA1 patient-derived induced pluripotent stem cells (iPSCs) to Purkinje cells. Dynamic molecular network analysis implicated histone genes and cytokine-relevant immune response genes at the earliest stages of development, and revealed relevance of ISG15 to the following degradation and accumulation of mutant ataxin-1 in Purkinje cells of SCA1 model mice and human patients."
4,Nonlinear DNA methylation trajectories in aging male mice,"Although DNA methylation data yields highly accurate age predictors, little is known about the dynamics of this quintessential epigenomic biomarker during lifespan. To narrow the gap, we investigate the methylation trajectories of male mouse colon at five different time points of aging. Our study indicates the existence of sudden hypermethylation events at specific stages of life. Precisely, we identify two epigenomic switches during early-to-midlife (3-9 months) and mid-to-late-life (15-24 months) transitions, separating the rodents’ life into three stages. These nonlinear methylation dynamics predominantly affect genes associated with the nervous system and enrich in bivalently marked chromatin regions. Based on groups of nonlinearly modified loci, we construct a clock-like classifier STageR (STage of aging estimatoR) that accurately predicts murine epigenetic stage. We demonstrate the universality of our clock in an independent mouse cohort and with publicly available datasets."
5,Accurately clustering biological sequences in linear time by relatedness sorting,"Clustering biological sequences into similar groups is an increasingly important task as the number of available sequences continues to grow exponentially. Search-based approaches to clustering scale super-linearly with the number of input sequences, making it impractical to cluster very large sets of sequences. Approaches to clustering sequences in linear time currently lack the accuracy of super-linear approaches. Here, I set out to develop and characterize a strategy for clustering with linear time complexity that retains the accuracy of less scalable approaches. The resulting algorithm, named Clusterize, sorts sequences by relatedness to linearize the clustering problem. Clusterize produces clusters with accuracy rivaling popular programs (CD-HIT, MMseqs2, and UCLUST) but exhibits linear asymptotic scalability. Clusterize generates higher accuracy and oftentimes much larger clusters than Linclust, a fast linear time clustering algorithm. I demonstrate the utility of Clusterize by accurately solving different clustering problems involving millions of nucleotide or protein sequences."
6,scGHOST: identifying single-cell 3D genome subcompartments,"Single-cell Hi-C (scHi-C) technologies allow for probing of genome-wide cell-to-cell variability in three-dimensional (3D) genome organization from individual cells. Computational methods have been developed to reveal single-cell 3D genome features based on scHi-C, including A/B compartments, topologically associating domains and chromatin loops. However, no method exists for annotating single-cell subcompartments, which is important for understanding chromosome spatial localization in single cells. Here we present scGHOST, a single-cell subcompartment annotation method using graph embedding with constrained random walk sampling. Applications of scGHOST to scHi-C data and contact maps derived from single-cell 3D genome imaging demonstrate reliable identification of single-cell subcompartments, offering insights into cell-to-cell variability of nuclear subcompartments. Using scHi-C data from complex tissues, scGHOST identifies cell-type-specific or allele-specific subcompartments linked to gene transcription across various cell types and developmental stages, suggesting functional implications of single-cell subcompartments. scGHOST is an effective method for annotating single-cell 3D genome subcompartments in a broad range of biological contexts."
7,Spike sorting with Kilosort4,"Spike sorting is the computational process of extracting the firing times of single neurons from recordings of local electrical fields. This is an important but hard problem in neuroscience, made complicated by the nonstationarity of the recordings and the dense overlap in electrical fields between nearby neurons. To address the spike-sorting problem, we have been openly developing the Kilosort framework. Here we describe the various algorithmic steps introduced in different versions of Kilosort. We also report the development of Kilosort4, a version with substantially improved performance due to clustering algorithms inspired by graph-based approaches. To test the performance of Kilosort, we developed a realistic simulation framework that uses densely sampled electrical fields from real experiments to generate nonstationary spike waveforms and realistic noise. We found that nearly all versions of Kilosort outperformed other algorithms on a variety of simulated conditions and that Kilosort4 performed best in all cases, correctly identifying even neurons with low amplitudes and small spatial extents in high drift conditions."
8,Comparative characterization of the infant gut microbiome and their maternal lineage by a multi-omics approach,"The human gut microbiome establishes and matures during infancy, and dysregulation at this stage may lead to pathologies later in life. We conducted a multi-omics study comprising three generations of family members to investigate the early development of the gut microbiota. Fecal samples from 200 individuals, including infants (0-12 months old; 55% females, 45% males) and their respective mothers and grandmothers, were analyzed using two independent metabolomics platforms and metagenomics. For metabolomics, gas chromatography and capillary electrophoresis coupled to mass spectrometry were applied. For metagenomics, both 16S rRNA gene and shotgun sequencing were performed. Here we show that infants greatly vary from their elders in fecal microbiota populations, function, and metabolome. Infants have a less diverse microbiota than adults and present differences in several metabolite classes, such as short- and branched-chain fatty acids, which are associated with shifts in bacterial populations. These findings provide innovative biochemical insights into the shaping of the gut microbiome within the same generational line that could be beneficial in improving childhood health outcomes."
9,Single-cell multiomics reveals the interplay of clonal evolution and cellular plasticity in hepatoblastoma,"Hepatoblastomas (HB) display heterogeneous cellular phenotypes that influence the clinical outcome, but the underlying mechanisms are poorly understood. Here, we use a single-cell multiomic strategy to unravel the molecular determinants of this plasticity. We identify a continuum of HB cell states between hepatocytic (scH), liver progenitor (scLP) and mesenchymal (scM) differentiation poles, with an intermediate scH/LP population bordering scLP and scH areas in spatial transcriptomics. Chromatin accessibility landscapes reveal the gene regulatory networks of each differentiation pole, and the sequence of transcription factor activations underlying cell state transitions. Single-cell mapping of somatic alterations reveals the clonal architecture of each tumor, showing that each genetic subclone displays its own range of cellular plasticity across differentiation states. The most scLP subclones, overexpressing stem cell and DNA repair genes, proliferate faster after neo-adjuvant chemotherapy. These results highlight how the interplay of clonal evolution and epigenetic plasticity shapes the potential of HB subclones to respond to chemotherapy."
10,Engineering an artificial catch bond using mechanical anisotropy,"Catch bonds are a rare class of protein-protein interactions where the bond lifetime increases under an external pulling force. Here, we report how modification of anchor geometry generates catch bonding behavior for the mechanostable Dockerin G:Cohesin E (DocG:CohE) adhesion complex found on human gut bacteria. Using AFM single-molecule force spectroscopy in combination with bioorthogonal click chemistry, we mechanically dissociate the complex using five precisely controlled anchor geometries. When tension is applied between residue #13 on CohE and the N-terminus of DocG, the complex behaves as a two-state catch bond, while in all other tested pulling geometries, including the native configuration, it behaves as a slip bond. We use a kinetic Monte Carlo model with experimentally derived parameters to simulate rupture force and lifetime distributions, achieving strong agreement with experiments. Single-molecule FRET measurements further demonstrate that the complex does not exhibit dual binding mode behavior at equilibrium but unbinds along multiple pathways under force. Together, these results show how mechanical anisotropy and anchor point selection can be used to engineer artificial catch bonds."
